"TRADE.NAME","OpenCat","street","lon","lat"
"Music & Arts 
Club/Tropicalia","2012-13","2001 14TH ST NW",-77.0315607,38.9171772
"Pesce","2007 or earlier","2002 P ST NW",-77.0452913,38.9094481
"The Blaguard","2008-9","2003 18TH ST NW",-77.0413854,38.9172908
"Duplex Diner","2007 or earlier","2004 18TH ST NW",-77.0418772,38.9172157
"Marvin","2007 or earlier","2007 14TH ST NW",-77.0316788,38.9173169
"Jack Rose","2010-11","2007 18TH ST NW",-77.0412918,38.9173956
"Town","2014-15","2009 8TH ST NW",-77.0226758,38.9170925
"Slash Run","2014-15","201 UPSHUR ST NW",-77.0138611,38.9424138
"Ghion Restaurant and 
Lounge","2010-11","2010 9TH ST NW",-77.024246,38.9173872
"Thai Phoon","2014-15","2011 S ST NW",-77.0454802,38.9143377
"Ezme","2008-9","2016 P ST NW",-77.0456101,38.9094792
"Jin","2014-15","2017 14TH ST NW",-77.0315936,38.9176416
"Chix","2007 or earlier","2019 11TH ST NW",-77.0268024,38.9175819
"Park Tavern","2012-13","202 M ST SE",-77.0031168,38.8770973
"Thaixing 9th Street","2014-15","2020 9TH ST NW",-77.0242087,38.9176109
"India Gate","2014-15","2020 P ST NW",-77.0458362,38.9094496
"THOMAS FOOLERY","2010-11","2029 P ST NW",-77.046227,38.9098768
"McClellan's Retreat","2014-15","2031 FLORIDA AVE NW",-77.0465535,38.914353
"Tonic","2007 or earlier","2036 G ST NW",-77.046469,38.8980798
"Satellite Room","2012-13","2047 9TH ST NW",-77.0239014,38.9178358
"Provision No. 14","2014-15","2100 14TH ST NW",-77.0323432,38.9182575
"Scion Restaurant","2008-9","2100 P ST NW",-77.0469296,38.9095365
"Stoney's on L","2014-15","2101 L ST NW",-77.0470815,38.904105
"Duffy's Irish Restaurant and
Pub","2007 or earlier","2106 VERMONT AVE NW",-77.0249709,38.918465
"Acqua al 2/Suna/Harold 
Black Bar","2010-11","212 7TH ST SE",-76.9958366,38.8868579
"Sugar","2014-15","2121 K ST NW",-77.0471797,38.9029059
"Asia 54","2012-13","2122 P ST NW",-77.0476099,38.9095043
"Stadium Club","2010-11","2127 QUEENS CHAPEL RD NE",-76.9722332,38.9196577
"Cafe Romeo's","2007 or earlier","2132 WISCONSIN AVE NW",-77.0704109,38.918465
"Char Bar Restaurant and 
Eli's Market","2014-15","2142 L ST NW",-77.0482944,38.9035686
"Cedar Hill Bar & Grill / 
Uniontown Bar & Grill","2012-13","2200 MARTIN LUTHER KING JR AVE SE",-76.9895898,38.864763
"District Commons/Burger 
Tap & Shake","2010-11","2200 PENNSYLVANIA AVE NW",-77.0494457,38.9016524
"Nido","2014-15","2214 RHODE ISLAND AVE NE",-76.9735346,38.930654
"Mad Fox Brewing Company 
Taproom","2014-15","2218 WISCONSIN AVE NW",-77.0713275,38.9195584
"Circa at Foggy Bottom","2010-11","2221 I ST NW",-77.0497071,38.9009754
"Sonoma","2007 or earlier","223 PENNSYLVANIA AVE SE",-77.0026662,38.8869787
"Breadsoda","2008-9","2233 WISCONSIN AVE NW",-77.0707471,38.9199523
"Boxcar Tavern","2012-13","224 7TH ST SE",-76.995818,38.886555
"Himalayan Heritage","2008-9","2305 18TH ST NW",-77.0414099,38.91984
"Sushi Keiko","2014-15","2309 WISCONSIN AVE NW",-77.0716961,38.9205855
"Momoyama","2007 or earlier","231 2ND ST NW",-77.0133514,38.8932471
"Cafe Sorriso","2010-11","2311 CALVERT ST NW",-77.0510011,38.9237633
"Bourbon","2007 or earlier","2321 18TH ST NW",-77.0415796,38.9202658
"The Town Tavern","2008-9","2323 18TH ST NW",-77.0415492,38.9203387
"The Green Island 
Cafe/Heaven & Hell","2007 or earlier","2327 18TH ST NW",-77.0416643,38.9204277
"Hamilton's Bar & Grill","2007 or earlier","233 2ND ST NW",-77.0134201,38.8933139
"Johnny Pistolas","2012-13","2333 18TH ST NW",-77.0416965,38.9204776
"High Dive","2014-15","2337 18TH ST NW",-77.0416628,38.920603
"Busboys & Poets ‐ Takoma","2014-15","235 CARROLL ST NW",-77.0153661,38.9752725
"Heritage India/Malgudi","2007 or earlier","2400 WISCONSIN AVE NW",-77.0723052,38.921507
"Slate Wine Bar & Bistro","2012-13","2404 WISCONSIN AVE NW",-77.0723232,38.9215377
"Ventnor Sports Cafe","2008-9","2411 18TH ST NW",-77.0417507,38.9208816
"Black Squirrel","2008-9","2427 18TH ST NW UNIT B",-77.041859,38.921233
"BUL","2014-15","2431 18TH ST NW",-77.0419111,38.9213451
"Libertine","2012-13","2435 18TH ST NW",-77.0418975,38.9214331
"Creme","2014-15","2436 14TH ST NW",-77.0323243,38.9214784
"Mellow Mushroom","2010-11","2436 18TH ST NW",-77.0426657,38.9215518
"Grand Central","2007 or earlier","2447 18TH ST NW",-77.0420238,38.9217499
"DC Shenanigans","2010-11","2450 18TH ST NW",-77.0427113,38.9219324
"Bossa Brazilian Bistro","2007 or earlier","2463 18TH ST NW",-77.0421439,38.9220909
"Smoke & Barrel","2010-11","2471 18TH ST NW",-77.0422175,38.9222858
"Songbyrd","2014-15","2477 18TH ST NW",-77.0422671,38.9223987
"TD   BURGER","2012-13","250 K ST NE",-77.0024769,38.9030971
"The 51st State","2007 or earlier","2512 L ST NW",-77.053916,38.9035
"CHARMTHAI","2007 or earlier","2514 L ST NW",-77.053978,38.9035
"Bayou","2007 or earlier","2519 PENNSYLVANIA AVE NW",-77.053833,38.9041799
"FLAVORS OF 
INDIA/MARSHALL'S BAR","2012-13","2524 L ST NW",-77.0543178,38.9035026
"Dulcinea Bar and Grill","2012-13","2618 GEORGIA AVE NW",-77.0229119,38.924755
"Woodley Cafe","2007 or earlier","2619 CONNECTICUT AVE NW",-77.0513919,38.9241507
"Macintyre's Pub","2014-15","2621 CONNECTICUT AVE NW",-77.0514211,38.9241945
"Umi Japanese Cuisine","2010-11","2625 CONNECTICUT AVE NW",-77.0514811,38.924309
"Peace Lounge","2014-15","2632 GEORGIA AVE NW",-77.022931,38.9250148
"Noodles & Company","2012-13","2635 CONNECTICUT AVE NW",-77.0517207,38.9246042
"Cafe Paradiso","2007 or earlier","2649 CONNECTICUT AVE NW",-77.0519675,38.9249743
"HOT AND JUICY CRAWFISH","2010-11","2651 CONNECTICUT AVE NW",-77.0519988,38.9250263
"Panda Gourmet","2012-13","2700 NEW YORK AVE NE",-76.9704721,38.9177601
"Le Pain Quotidien","2007 or earlier","2815 M ST NW",-77.0575551,38.9054735
"Lillie's Restaurant","2010-11","2915 CONNECTICUT AVE NW",-77.0539639,38.928671
"Maxime Steak Frites & Bar","2014-15","2915 M ST NW",-77.0586012,38.9054729
"Unum","2010-11","2917 M ST NW",-77.0586757,38.9054562
"Pier 2934","2014-15","2934 M ST NW",-77.0590162,38.9050378
"Bluejacket/The Arsenal","2012-13","300 TINGEY ST SE",-77.0012686,38.8752103
"Sequoia Grill","2007 or earlier","3000 K ST NW STE # 00500",-77.0599099,38.9019792
"I‐Thai","2014-15","3003 M ST NW",-77.0594061,38.9053678
"Kruba","2012-13","301 TINGEY ST SE",-77.0015851,38.8743618
"We, The Pizza","2007 or earlier","305 PENNSYLVANIA AVE SE",-77.0017193,38.8866041
"Fiola Mare","2014-15","3050 K ST NW",-77.0607409,38.9020797
"Pupuseria San Miguel","2007 or earlier","3110 MOUNT PLEASANT ST NW",-77.0377337,38.9291859
"Colony Club","2014-15","3118 GEORGIA AVE NW",-77.02372,38.929572
"Marleny's Restaurant & 
Carryout","2008-9","3201 MOUNT PLEASANT ST NW",-77.0380977,38.9312979
"Wagshal's","2007 or earlier","3201 NEW MEXICO AVE NW",-77.0849157,38.9330436
"Room 11","2008-9","3234 11TH ST NW",-77.0280954,38.9304849
"Montmartre/7th Hill","2007 or earlier","327 7TH ST SE",-76.996494,38.885356
"Harmony Cafe","2007 or earlier","3287 M ST NW",-77.0656643,38.9053261
"Hawk N' Dove","2007 or earlier","329 PENNSYLVANIA AVE SE",-77.0012272,38.8863627
"Serendipity","2014-15","3301 12TH ST NE",-76.9906646,38.930785
"Raku","2014-15","3312 WISCONSIN AVE NW",-77.0724584,38.9340654
"Coppi's  Organic Restaurant","2014-15","3321 CONNECTICUT AVE NW",-77.0572435,38.9341672
"EL TIO","2014-15","3345 14TH ST NW",-77.0324175,38.9310079
"Meridian Pint","2010-11","3400 11TH ST NW",-77.0285086,38.9319963
"Malmaison","2012-13","3401 K ST NW",-77.0681034,38.9041454
"Kangaroo Boxing Club","2012-13","3410 11TH ST NW",-77.028545,38.9321621
"Gloria's Restaurant & Carry 
Out","2007 or earlier","3411 14TH ST NW",-77.0323754,38.9318599
"Maple","2012-13","3418 11TH ST NW",-77.0285918,38.9322926
"Cleveland Park Bar & Grill","2007 or earlier","3421 CONNECTICUT AVE NW",-77.0577053,38.9350651
"Zeba Bar & Grill","2014-15","3423 14TH ST NW",-77.0324325,38.9322279
"St. Arnold's Mussel Bar","2010-11","3433 CONNECTICUT AVE NW",-77.0579736,38.9353295
"Thip Khao","2014-15","3460 14TH ST NW",-77.033039,38.9325232
"La Gran Villa","2012-13","3475 14TH ST NW",-77.0323691,38.9344222
"Alero Restaurant","2007 or earlier","3500 CONNECTICUT AVE NW",-77.0589448,38.9357588
"Paragon Thai Restaurant","2008-9","3507 CONNECTICUT AVE NW",-77.058119,38.9359351
"Smith Public Trust","2014-15","3514 12TH ST NE",-76.9912351,38.9329734
"Sorriso","2007 or earlier","3518 CONNECTICUT AVE NW",-77.0591574,38.9361414
"Siam House DC","2007 or earlier","3520 CONNECTICUT AVE NW",-77.0593023,38.9362135
"Juanita's Restaurant","2012-13","3521 14TH ST NW",-77.0324398,38.9355503
"Steel Plate","2014-15","3523 12TH ST NE",-76.990764,38.933238
"La Dulce Noche","2012-13","3566 14TH ST NW",-77.0330291,38.9361782
"Eats Place","2014-15","3607 GEORGIA AVE NW",-77.0238019,38.9347837
"BULLDOG TAVERN","2014-15","3700 O ST NW",-77.0715752,38.9076708
"Taqueria Habanero","2014-15","3710 14TH ST NW",-77.033077,38.9375513
"Red Derby","2007 or earlier","3718 14TH ST NW",-77.033092,38.937728
"San Antonio Bar & Grill III","2008-9","3908 12TH ST NE",-76.9908394,38.937608
"Sabor Latino Bar & Grill","2010-11","3910 14TH ST NW",-77.0329805,38.9389623
"El Sol Restaurant","2014-15","3911 14TH ST NW",-77.0324279,38.9390309
"Driftwood Kitchen","2014-15","400 H ST NE",-77.000381,38.900467
"Cafe Ole","2007 or earlier","4000 WISCONSIN AVE NW",-77.077104,38.9417038
"Oyamel","2007 or earlier","401 7TH ST NW",-77.0217214,38.8949709
"Philos Mezze & Wine Bar","2014-15","401 MASSACHUSETTS AVE NW",-77.0168202,38.9007564
"China Chilcano","2014-15","418 7TH ST NW",-77.0220795,38.8953419
"The Big Board","2010-11","421 H ST NE",-76.9997655,38.9000647
"Laliguras Indian & Nepali 
Bistro","2014-15","4221 CONNECTICUT AVE NW",-77.0629607,38.9438098
"Ollie's Trolley","2007 or earlier","425 12TH ST NW",-77.0277245,38.8959315
"SAFARI RESTAURANT AND 
LOUNGE","2012-13","4306 GEORGIA AVE NW",-77.0261762,38.9432153
"Harriets","2007 or earlier","432 11TH ST NW",-77.0273191,38.8958271
"Acacia Wellness Bistro","2008-9","4340 CONNECTICUT AVE NW",-77.065222,38.946214
"Hache Lounge","2012-13","441 KENNEDY ST NW",-77.0196434,38.9565915
"Burger Tap & Shake","2014-15","4445 WISCONSIN AVE NW",-77.0791955,38.9477135
"Thai Pad","2014-15","4481 CONNECTICUT AVE NW",-77.0651393,38.9476016
"Italian Pizza Kitchen","2007 or earlier","4483 CONNECTICUT AVE NW",-77.0651939,38.9477089
"Angelico Pizzeria & Cafe","2007 or earlier","4529 WISCONSIN AVE NW",-77.079679,38.948688
"Public Tenley","2014-15","4611 41ST ST NW",-77.0800289,38.9500841
"Kitty O'Shea's DC","2010-11","4624 WISCONSIN AVE NW",-77.0809288,38.9506239
"Ethiopia Restaurant & 
Market","2007 or earlier","4630 14TH ST NW",-77.0329897,38.9470024
"Satay Club Asian 
Restaurant","2008-9","4654 WISCONSIN AVE NW",-77.0810886,38.9508734
"The Highlands","2008-9","4706 14TH ST NW",-77.0330058,38.9475888
"Sandovan Restaurant & 
Lounge","2012-13","4809 GEORGIA AVE NW",-77.026716,38.9486505
"Okapi","2014-15","4811 GEORGIA AVE NW",-77.0266666,38.9487044
"Mignot","2014-15","4815 GEORGIA AVE NW",-77.0267343,38.9488201
"Little China Cafe","2007 or earlier","4830 MACARTHUR BLVD NW",-77.0965619,38.9169026
"Le Pain Quotidien","2008-9","4872 MASSACHUSETTS AVE NW",-77.0964766,38.9453246
"Le Chat Noir","2007 or earlier","4907 WISCONSIN AVE NW",-77.0820003,38.9534988
"Cafe of India","2010-11","4909 WISCONSIN AVE NW",-77.0818067,38.9537649
"Layla Lounge","2014-15","501 MORSE ST NE",-76.9988806,38.9071322
"P&P Coffeehouse","2007 or earlier","5015 CONNECTICUT AVE NW",-77.0696601,38.9554718
"Buck's Fishing & Camping","2007 or earlier","5031 CONNECTICUT AVE NW",-77.0698963,38.9558307
"Full Kee Restaurant","2007 or earlier","509 H ST NW",-77.0192989,38.8999866
"Pacifico Cantina","2012-13","514 8TH ST SE",-76.9945958,38.8822114
"Medium Rare Barracks 
Row, LLC","2012-13","515 8TH ST SE",-76.9953338,38.8822316
"DC Harvest","2014-15","517 H ST NE",-76.998807,38.899971
"Absolute Thai Restaurant","2008-9","521 G ST NW",-77.0195255,38.8986072
"El Camino Real Restaurant I 
I","2007 or earlier","5217 GEORGIA AVE NW",-77.0273091,38.9534633
"Ambar","2012-13","523 8TH ST SE",-76.995291,38.8820245
"Nooshi Capitol Hill","2012-13","524 8TH ST SE",-76.9946231,38.8818336
"Booeymonger Restaurant","2007 or earlier","5252 WISCONSIN AVE NW",-77.0851373,38.9587293
"Civil","2012-13","5335 WISCONSIN AVE NW",-77.0849152,38.960427
"Blue 44","2010-11","5507 CONNECTICUT AVE NW",-77.0743522,38.9633826
"Simple Bar and Grill","2012-13","5828 GEORGIA AVE NW",-77.0282638,38.9608627
"Mastro's Steakhouse","2014-15","600 13TH ST NW",-77.0299465,38.8977918
"MXDC","2012-13","600 14TH ST NW",-77.0322736,38.8976548
"Fuel Pizza & Wings","2012-13","600 F ST NW",-77.0201552,38.8970737
"Vie De France","2007 or earlier","600 MARYLAND AVE SW",-77.0208396,38.8861971
"Campono","2014-15","600 NEW HAMPSHIRE AVE NW",-77.054991,38.8978425
"Toscana Cafe","2008-9","601 2ND ST NE",-77.0032689,38.8974799
"The Green Turtle","2007 or earlier","601 F ST NW",-77.020963,38.8981247
"Fiola","2010-11","601 PENNSYLVANIA AVE NW",-77.020555,38.8933245
"Ming's","2008-9","617 H ST NW",-77.0207421,38.9000257
"Pound the Hill","2010-11","621 PENNSYLVANIA AVE SE",-76.9976548,38.8849544
"Serengeti","2007 or earlier","6210 GEORGIA AVE NW STE A",-77.0279049,38.9653444
"Vapiano","2008-9","623 H ST NW",-77.021023,38.9001189
"Right Proper Brewing 
Company","2012-13","624 T ST NW",-77.0214224,38.9154246
"Busboys & Poets","2014-15","625 MONROE ST NE",-76.9971168,38.9318644
"La Plaza Mexican 
Restaurant","2007 or earlier","629 PENNSYLVANIA AVE SE",-76.9974751,38.884799
"Hanks Oyster Bar","2012-13","633 PENNSYLVANIA AVE SE",-76.9973294,38.8847702
"Flash","2012-13","645 FLORIDA AVE NW",-77.0214034,38.9162711
"Le Pain Quotidien","2008-9","666 PENNSYLVANIA AVE SE",-76.996395,38.885145
"Thai Chili","2007 or earlier","701 7TH ST NW",-77.0208633,38.89923
"Zaytinya","2007 or earlier","701 9TH ST NW",-77.0234869,38.8990101
"701 Restaurant","2007 or earlier","701 PENNSYLVANIA AVE NW",-77.0224615,38.8944082
"Daikaya","2012-13","705 6TH ST NW",-77.019589,38.898603
"Red Line","2010-11","707 G ST NW",-77.0223763,38.8987971
"Addis Ethiopian Restaurant","2014-15","707 H ST NE",-76.9957866,38.8999938
"Lola's","2008-9","711 8TH ST SE",-76.9952809,38.8808332
"Molly Malone's","2008-9","713 8TH ST SE",-76.9953252,38.8807696
"Bar Deco","2014-15","717 6TH ST NW",-77.0195236,38.8988144
"The Ugly Mug Dining 
Saloon","2007 or earlier","723 8TH ST SE",-76.9953242,38.8804673
"Jackpot","2012-13","726 7TH ST NW",-77.022223,38.899323
"SAX","2010-11","734 11TH ST NW",-77.0272321,38.8993568
"FUDDRUCKERS","2007 or earlier","734 7TH ST NW",-77.0221477,38.8996059
"Absolute Noodle","2012-13","772 5TH ST NW",-77.0190397,38.8992356
"Del Campo","2012-13","777 I ST NW",-77.0227419,38.9010641
"Nile Market & Kitchen","2007 or earlier","7815 GEORGIA AVE NW",-77.0263516,38.9841329
"Shake Shack","2012-13","800 F ST NW",-77.0234853,38.8969085
"Paul Bakery","2010-11","801 PENNSYLVANIA AVE NW",-77.0235065,38.894388
"Taqueria Distrito Federal","2008-9","805 KENNEDY ST NW",-77.0244504,38.9564678
"Bacio Pizzeria","2010-11","81 SEATON PL NW",-77.0117026,38.9149499
"R F D Washington","2007 or earlier","810 7TH ST NW",-77.0222921,38.9004282
"Spice a Caribbean Jerk Joint","2010-11","826 SHEPHERD ST NW",-77.0245029,38.9395886
"Centeno's Restaurant","2012-13","827 KENNEDY ST NW",-77.0252415,38.9564749
"Petworth Citizen","2012-13","829 UPSHUR ST NW",-77.0245028,38.9421278
"Elephant & Castle Pub 
Restaurant","2008-9","900 19TH ST NW",-77.0438705,38.9016587
"Climax Restaurant & 
Hookah Bar","2012-13","900 FLORIDA AVE NW",-77.0242568,38.917733
"Nellie's Restaurant & 
Sports Bar","2007 or earlier","900 U ST NW",-77.0242445,38.9168259
"City Tap House","2012-13","901 9TH ST NW",-77.023965,38.9008796
"Ella's Wood‐Fired Pizza, LLC","2007 or earlier","901 F ST NW",-77.0244045,38.8977099
"Acadiana","2007 or earlier","901 NEW YORK AVE NW",-77.0255225,38.9020684
"The Brixton","2012-13","901 U ST NW",-77.0242027,38.9172098
"Scarlet Oak","2014-15","909 NEW JERSEY AVE SE",-77.0055059,38.8788864
"EL REY","2014-15","919 U ST NW",-77.0248297,38.9172704
"The Park Place at 14th","2007 or earlier","920 14TH ST NW",-77.0322748,38.9019218
"Co Co Sala","2008-9","927 F ST NW",-77.0252248,38.8973612
"Mango Tree","2014-15","929 H ST NW",-77.0247844,38.8999813
"Darnell's","2010-11","944 FLORIDA AVE NW",-77.0252272,38.919314
"Del Frisco's Double Eagle 
Steak House","2014-15","950 I ST NW",-77.0249258,38.9008982
"Meiwah","2007 or earlier","1200 NEW HAMPSHIRE AVE NW",-77.0476443,38.9058338
"18th Street Lounge","2007 or earlier","1212 18TH ST NW",-77.0419278,38.9062036
"Atlas Arcade/Church & 
state","2012-13","1236 H ST NE",-76.9889778,38.9004136
"Lost and Found","2014-15","1240 9TH ST NW",-77.0243719,38.9067636
"Pizza Studio","2014-15","1333 NEW HAMPSHIRE AVE NW",-77.0439697,38.9084482
"Biergarten Haus","2010-11","1355 H ST NE",-76.9864865,38.8998749
"Sticky Fingers Sweets & 
Eats DC","2007 or earlier","1370 PARK RD NW",-77.0318884,38.9303663
"& Pizza","2014-15","1400 K ST NW",-77.0322943,38.9021614
"THE ELROY","2012-13","1423 H ST NE",-76.9846556,38.9000072
"Halftime Sports Bar","2014-15","1427 H ST NE",-76.9847208,38.8999908
"Number Nine","2010-11","1435 P ST NW",-77.0333881,38.9098809
"Ivy and Coney","2014-15","1537 7TH ST NW",-77.0215835,38.9106548
"Wicked Bloom Social Club","2014-15","1540 NORTH CAPITOL ST NW",-77.0094641,38.9107024
"Penthouse Pool & Lounge","2012-13","1612 U ST NW",-77.0376102,38.9167366
"The Huxley","2012-13","1730 M ST NW",-77.0398453,38.9053837
"Board Room","2012-13","1737 CONNECTICUT AVE NW",-77.0453095,38.9136664
"BUB  AND POP'S","2012-13","1815 M ST NW",-77.042393,38.9059219
"SALA THAI","2014-15","1817 M ST NW",-77.0424976,38.9058615
"DC Grill Express","2014-15","1917 18TH ST NW",-77.0413877,38.9160928
"El Chalan","2007 or earlier","1922 I ST NW",-77.0444887,38.9011673
"Bliss","2014-15","2122 24TH PL NE",-76.9716718,38.9198884
"INDIGO‐Indian food on the 
go!","2012-13","243 K ST NE",-77.0022198,38.9022568
"West Wing Cafe","2010-11","300 NEW JERSEY AVE NW",-77.0115934,38.8945274
"Kokeb Ethiopian 
Restaurant","2012-13","3013 GEORGIA AVE NW",-77.0229622,38.9286096
"Fat Pete's BBQ","2014-15","3407 CONNECTICUT AVE NW",-77.0575222,38.9347736
"WALTERS","2014-15","3632 GEORGIA AVE NW",-77.0244251,38.9349718
"The Looking Glass Lounge 
at Temperance Hall","2008-9","3634 GEORGIA AVE NW",-77.0244305,38.9350188
"Luke's Lobster","2010-11","624 E ST NW",-77.0210711,38.8955354
"California Tortilla","2007 or earlier","728 7TH ST NW",-77.0222207,38.8994077
"Beefsteak","2014-15","800 22ND ST NW",-77.0494475,38.9001398
"TABLE DC","2012-13","903 N ST NW",-77.0243825,38.9073696
"Velvet Lounge","2007 or earlier","915 U ST NW",-77.0247046,38.9171963
"Dodge City","2010-11","917 U ST NW",-77.0247539,38.9172117
"1789 Restaurant Tombs F 
Scotts","2007 or earlier","1224 36TH ST NW",-77.0703013,38.9060613
"7H  PIZZA","2014-15","4885 MACARTHUR BLVD NW",-77.0968132,38.9178797
"Aatish On The Hill","2007 or earlier","609 PENNSYLVANIA AVE SE",-76.9980217,38.8850778
"Afghan Grill","2007 or earlier","2309 CALVERT ST NW",-77.0509028,38.9237497
"Al Tiramisu","2007 or earlier","2014 P ST NW",-77.0455934,38.9093975
"Alba Osteria","2012-13","425 I ST NW",-77.0169603,38.9017054
"Alero Restaurant‐1","2007 or earlier","1724 CONNECTICUT AVE NW UNIT A",-77.0459795,38.9134104
"All Souls","2012-13","725 T ST NW",-77.0227423,38.9157462
"AMERICAN CITY DINER","2007 or earlier","5532 CONNECTICUT AVE NW",-77.075513,38.9641832
"American Ice Company","2010-11","917 V ST NW",-77.0252854,38.9183712
"Amsterdam Falafelshop","2014-15","1830 14TH ST NW",-77.032284,38.915142
"Angelika Pop‐Up","2014-15","550 PENN ST NE",-76.9961216,38.9101474
"Annie's Paramount Steak 
House","2007 or earlier","1609 17TH ST NW",-77.0383091,38.911602
"Aqua Restaurant","2007 or earlier","1818 NEW YORK AVE NE A",-76.9767674,38.9177091
